,text
169,"11 Dec 2021 COVID-19 info by experts below👇
#covid19  #covid_19 #covid #coronavirus #corona #sarscov2 #delta #omicron #vaccines #VaccineMandates #greenpass #reclaimtheline  #righttochoose #mybodymychoice #ichmachdanichtmit #widerstand #meinkörper #followthescience"
170,"“I will never forgive Boris Johnson” 

Lindsay Jackson of COVID-19 bereaved families for justice group tells me she found the video from Downing Street which seems to confirm they had a Christmas party in 2020 “despicable” https://t.co/yQtQjjclvM"
171,@QwQiao As oppose to losing 15k+ to Covid? Hmmm...
172,"If they really believed Covid was that terrifying and that deadly, they wouldn’t have had parties.

This is about your control not your health.

#Omicron #downingstreetparty"
173,"If the COVID cases don't spike, they'll say it's because of the restrictions they imposed.

If they do spike, they'll say it's because there weren't enough restrictions and more need to be imposed.

They really can't lose, can they?"
174,"@Xanthopteryx1 @OlaRosling @SwedishPM When *fewer* tests are needed per one positive case, the rise in positive cases is not due to more people going to test. It's due to more positives. 
OWID gets data from authorities, and the numbers in 
https://t.co/x5r5iREkHd
match very well with those in https://t.co/aaRiqJviJA"
175,"@KoenSwinkels 🇫🇷 WATCH LIVE NOW, COVID, PASS PROTESTS, FRANCE, PARIS !!!

  ❣️ Yellow Vests take to STREETS of PARIS for NEW ROUND of PROTESTS !!!
 
 👁️ AGAINST MANDATORY COVID-19 VAXX , HEALTH PASSES and a number of other social issues !!!!

RUPTLY

https://t.co/eMeYtFDLAO"
176,@Conspiratory_ @TheZingOne Kary B Mullis invented the PCR test that's being used as the Covid-19 test. He died suddenly in August 2019.
177,"CNN, why did you remove the ticker that reflected the number of covid deaths? Was concern for the obscene number of unnecessary deaths due to inability of the healthcare system to respond to the crisis because it had been devastated by private sector only relevant under Trump?"
178,.@dcsdk12 please share with Dir Petersen. The new directors love to diminish the impact of COVID on kids. https://t.co/glGjL0acgT
179,"Vaccines that require 3 or more doses within 12 months:

-Diphtheria/Tetanus/Pertussis
-Polio 
-Hepatitis B
-Human papillomavirus
-COVID-19"
180,"In South Florida, (Florida's 3 largest counties) they did 233,400 covid tests last week.  2.24% of them came back positive.  South Florida is one of the safest places to be in the nation right now..  Enjoy your freedom and the weekend. https://t.co/QgsEtI6S5M"
181,@BruinsSteve Covid Crrraaaap!  Uhhhm
182,"Hahaha. Thanks ⁦@TheBeaverton⁩ for translating “Ford-speak” into something that makes sense. 😂

Ford: when I blamed young people for spreading COVID, I specifically meant my daughter Krista - The Beaverton https://t.co/NZxvBCRfOD"
183,"Tories in Scotland criticising the @scotgov for trying to save lives should go take a look in the mirror, Brexit is having a much more damaging effect on the economy than Covid https://t.co/JZzYlxoxiS #YesScots"
184,"@smerconish There are two components to this inflation.. it started out as global supply chain issue related to Covid. 

However it has moved into a new phase.. opportunistic, acceptable business strategy to unilaterally price gouge across all industries."
185,"I don't know who could have seen this coming, but the CEO of Pfizer is now saying that people might now need FOUR Covid shots in order to be protected from the virus.  I know....it is shocking."
186,"COVID-19: Omicron could cause between 25,000 and 75,000 deaths in England without tougher restrictions - experts https://t.co/baKvrxivtR"
187,"Here's 'planet Boris' in February 2020 laughing about taking a much less cautious approach to Covid than other countries - to make money. Even when finally reacting, Tories managed to scam tens of billions for their dodgy chums. 

How they laughed as the bodies piled high https://t.co/kEyJDl6tro https://t.co/VKlKbx0Z0j"
188,"@MarshaBlackburn Over 17,500 COVID deaths in TN …over 1.3M ill and Marsha never sent one prayer or words of encouragement to get science-based help in form of vaccine as she did.

Is she even a human being let alone a professed “Christian”?"
189,"Most parents know this frightening data from the surgeon general is accurate, and believe Covid policy is more deadly for kids than Covid. That’s why they want a return to normalcy in schools. It’s not about politics, it’s about what’s best for kids. https://t.co/FrcxprZWhP"
190,"@JimmyTraina I got thru one of her vocal runs and couldn't subject myself to one more note. She makes me ashamed to be a human. God these people are so fucking stupid. If they get Covid, I will have zero sympathy."
191,"@MsIronical @weeyball UK gov is currently working on a raft of draconian legislation.
Removing the right to protest and making the expression of views that cause harm a criminal offence.
So, for example, it could be criminal to criticise covid policy."
192,I'm gonna open commission next week i hope this will be going well 🥺 I don't expect too much but i hope at least i get 1 🙏 I had to resign from my job this year bcs i got covid and last month i didn't pass civil exam test. So i have to find a way to survive 😢
193,"All #WannaOne Members Test Negative For COVID-19 + #2021MAMA Pre-Recording Rescheduled
https://t.co/N9O9fUce33 https://t.co/VCW3NdnQrL"
194,"“A mum with an autistic son who has life-threatening medical needs is to be interviewed under caution after pulling him out of primary school to protect him from Covid.”

This is insane

Thank you @sarahpaxman4⁩ for coming forward

Pls share far &amp; wide https://t.co/yL108BIlcR"
195,"1/
Covid is not an epidemiological story. Covid is a crime story."
196,"Happy Saturday folks! Shake it baby you won’t break it. Busted by Nadias video, it was meant for her eyes only but why not change the narrative from covid and vaxxed to tail feather shaking and silliness! Love your life find your tribe and never take yourself too seriously😂💪😂 https://t.co/6sQO8aEG9N"
197,"Florida has a 2.3% COVID positivity rate with no mask or vaccine mandates. We live life, we congregate, and we trust our immune systems. And it works."
198,@EricMMatheny What's covid
199,@Szolwethu1 @AceNcobo So Kaiser Chiefs should go and play while they have Covid .What about the life of people ?
200,"#OmicronVariant latest information
633 additional confirmed cases of the #Omicron variant of #COVID19 have been reported across the UK. 
The total number of confirmed COVID-19 Omicron cases in the UK is 1,898. https://t.co/407uAW76Pp"
201,"I genuinely don’t know how another wave of COVID admissions and deaths will leave the already fragile state of many staff in health and social care. 

I have never heard so many people talking about symptoms that sound very much like PTSD."
202,"""New Covid-19 infections in rural America shot up by nearly 50% last week, hitting numbers we haven’t seen since early fall."" Get the details from @dailyyonder here:https://t.co/mzwfZ8GmVD #ruralhealth #COVID19"
203,He look like a Covid variant https://t.co/xVdh4oRZtN
204,"May 26.
@fordnation pledges accountability after release of Military Report. 

October 21: @fordnation tables legislation that will protect LTC homes from Covid-19 lawsuits. 

Words are meaningless. 
Look at actions, they say it all. https://t.co/N3IYGDjA4z"
205,"@boosulyn @rahmahghazali @Khairykj Seriously? As with other Covid enforcement activities, participants could all be compounded individually, including himself. All this conveniently sidesteps the sheer negligence that allowed a potential cluster. Still, I’m sure he appreciates your tweet"
206,More details on the Swiss CO₂ classroom study here: https://t.co/4FS96Xt9mR
207,🆘DEMS EVIL CORRUPT LIARS‼️Biz are not adapting to inflation they’re falling like flies‼️AND…National Guard helping hospitals⁉️Serious⁉️ DEMS are lying‼️Covid variant causes 2 day flu like symptoms‼️LIARS&gt;VAX vs Covid in Hosp⁉️DEMS CREATING FEAR &amp; GOV CONTROL‼️ https://t.co/7OLnRSk598
208,Am astonished that @BBCScotland has decided to stop coverage of a hugely critical #Covid #Omicron briefing half way through and to cover it online. So many don’t have access. This is not helpful at all at such a key and anxious stage.
209,#ApolloTeleHealth sees Covid boost to #telemedicine; gets new BSI approval https://t.co/UEQ0G0bGAR
210,"Tory MPs voting against Covid Plan B “to protect civil liberties”, when this week they voted to give the government powers to strip almost 6 million Brits of their citizenship without notice or notification.

Maybe, just maybe, they don’t really care about civil liberties."
211,My brother’s triple-jabbed - the third one was Pfizer 3-4 wks ago. He’s just got covid &amp; feels ‘rough’ &amp; is isolating. Had a Xmas meal out with a load of mates last Friday - all of them vaccinated - 17 out of 21 of them have now tested positive.
212,"If they really believed Covid was that terrifying and that deadly, they wouldn’t have had parties.

This is about your control not your health.

#Omicron #downingstreetparty"
